count,brier,log_loss,auc,ece,model,model_display,slice,slice_description,dataset_key
1463,0.06664578587606859,0.24647206577932473,0.747907697387638,0.023319926520902066,baseline_geometry,Baseline Geometry,trailing,Team trailing,filtered
2966,0.07007412297577822,0.25469014050489397,0.7415593644981391,0.009373054370627076,baseline_geometry,Baseline Geometry,drawing,Score level,filtered
2348,0.06768792445096838,0.24876340420867696,0.7295813930009213,0.009141265415820611,baseline_geometry,Baseline Geometry,first_half,Minutes 0-45,filtered
3258,0.08153697854097368,0.2881758255788964,0.7398681486530838,0.0077046470121386,baseline_geometry,Baseline Geometry,second_half,Minutes 46+,filtered
1413,0.14494043251989167,0.46072343927182413,0.646729664387657,0.013176274503994213,baseline_geometry,Baseline Geometry,close_range,Shot distance ≤ 12m,filtered
2436,0.030575316902829226,0.1396641336434347,0.5795021002736136,0.0039906948626166686,baseline_geometry,Baseline Geometry,long_range,Shot distance ≥ 20m,filtered
3635,0.07511550043194395,0.26954193398783394,0.7416738774317843,0.008791624943334683,baseline_geometry,Baseline Geometry,set_piece,Set piece phases,filtered
1971,0.0768817243162099,0.27559025001128445,0.7291348718903158,0.012715815724908036,baseline_geometry,Baseline Geometry,open_play,Open play shots,filtered
5606,0.06502025674864124,0.2273501874260411,0.8431683823993024,0.010433062680065934,contextual_filtered,Contextual (Filtered),overall,All shots,filtered
1259,0.05820118704570197,0.21078182369691978,0.8016063111871494,0.016176003836613242,contextual_filtered,Contextual (Filtered),under_pressure,Shots under pressure,filtered
4347,0.06699523000744055,0.23214880024751883,0.8513494547873152,0.009613200039026874,contextual_filtered,Contextual (Filtered),not_under_pressure,Shots not under pressure,filtered
1177,0.08171375580110914,0.27645145309082586,0.8430105098122583,0.02180297370617027,contextual_filtered,Contextual (Filtered),leading,Team leading,filtered
1463,0.05773673953964236,0.20775776878665111,0.8389085736782617,0.011121096757956228,contextual_filtered,Contextual (Filtered),trailing,Team trailing,filtered
2966,0.061988408229427035,0.2175293913309554,0.8409995663747727,0.009547135176742678,contextual_filtered,Contextual (Filtered),drawing,Score level,filtered
2348,0.06132414804439615,0.21603623884733517,0.8292936559017655,0.01218063132572572,contextual_filtered,Contextual (Filtered),first_half,Minutes 0-45,filtered
3258,0.06768399623224085,0.23550400917644063,0.8511512535029918,0.014348607830501481,contextual_filtered,Contextual (Filtered),second_half,Minutes 46+,filtered
1413,0.11607933051476842,0.3711412670313426,0.8214703512101282,0.018531890019384645,contextual_filtered,Contextual (Filtered),close_range,Shot distance ≤ 12m,filtered
2436,0.029750598881063985,0.12841366627366654,0.7184477243824425,0.00371276380045031,contextual_filtered,Contextual (Filtered),long_range,Shot distance ≥ 20m,filtered
3635,0.063886552603417,0.22198939961423617,0.8582493001860008,0.01532982115721665,contextual_filtered,Contextual (Filtered),set_piece,Set piece phases,filtered
1971,0.06711108098399901,0.23723677479078528,0.8177802593212978,0.010301805189831295,contextual_filtered,Contextual (Filtered),open_play,Open play shots,filtered
5606,0.05994287776138831,0.20722402751769775,0.878686426893466,0.005554179686952705,contextual_enriched,Contextual (Enriched Priors),overall,All shots,enriched
1259,0.05374605004780363,0.19377264693358054,0.8392928428856572,0.007755552102997441,contextual_enriched,Contextual (Enriched Priors),under_pressure,Shots under pressure,enriched
