set_piece_category,set_piece_phase,score_state,minute_bucket_label,shots,goals,xg_total,goal_rate,xg_per_shot,modeled_prob,lift_vs_xg,lift_vs_model,bucket_logit,odds_multiplier
Corner,Second Phase,Level,0-15,23,2,1.634388148,0.08695652173913043,0.07106035426086957,0.08229349926989701,0.015896167478260864,0.004663022469233419,0.10785770173255316,1.1138892296009744
Throw In,First Phase,Level,90+,39,3,2.7503885441,0.07692307692307693,0.07052278318205128,0.07427801298320638,0.006400293741025645,0.0026450639398705456,0.09450526923639052,1.099114954614248
Open Play,Open Play,Level,30-45,172,15,15.0853604805,0.0872093023255814,0.0877055841889535,0.08682550984390465,-0.0004962818633720972,0.00038379248167674795,0.08449443729750371,1.088166791067043
Indirect Free Kick,First Phase,Level,15-30,53,4,4.0374275372,0.07547169811320754,0.07617787806037736,0.0740706956475486,-0.000706179947169816,0.0014010024656589404,0.05435130742849969,1.0558554668764357
Open Play,Open Play,Leading 1,90+,21,2,2.280005305,0.09523809523809523,0.1085716811904762,0.0927572989354559,-0.01333358595238096,0.0024807963026393376,0.05229638315905586,1.0536879916140054
Corner,First Phase,Level,45-60,60,4,4.502691058,0.06666666666666667,0.07504485096666666,0.06541090113841809,-0.008378184299999994,0.0012557655282485758,0.044153961152456435,1.0451432539618846
Corner,First Phase,Level,15-30,76,6,6.671123849,0.07894736842105263,0.08777794538157895,0.0779793835516837,-0.008830576960526318,0.0009679848693689291,0.04397790363757114,1.0449592648347024
Indirect Free Kick,First Phase,Leading 1,45-60,29,3,3.290518141,0.10344827586206896,0.11346614279310345,0.10221344479998241,-0.010017866931034486,0.00123483106208655,0.04209672339004502,1.0429953559187195
Direct Free Kick,Direct,Level,15-30,19,1,0.859294419,0.05263157894736842,0.04522602205263158,0.050709369280712256,0.007405556894736841,0.001922209666656162,0.03498878442480826,1.0356080937940437
Indirect Free Kick,Second Phase,Level,45-60,16,1,0.931574834,0.0625,0.058223427125,0.060892900708203676,0.004276572875000002,0.001607099291796324,0.02161995232105509,1.0218553569080064
Corner,First Phase,Trailing 1,30-45,16,1,1.239183165,0.0625,0.0774489478125,0.06252377948038466,-0.014948947812500002,-2.3779480384664153e-05,-0.005227515393195357,0.9947861242878335
Indirect Free Kick,First Phase,Level,90+,37,3,3.281357368,0.08108108108108109,0.08868533427027027,0.08147375794192895,-0.0076042531891891835,-0.0003926768608478598,-0.006106287435909984,0.9939123180478086
Open Play,Open Play,Level,0-15,231,18,20.6013417287,0.07792207792207792,0.08918329752683983,0.07910496435398039,-0.01126121960476191,-0.0011828864319024662,-0.01812880719851164,0.982034531094547
Other Restart,First Phase,Level,30-45,18,1,1.286622701,0.05555555555555555,0.07147903894444445,0.05838259155237771,-0.015923483388888895,-0.002827035996822158,-0.05660010225137313,0.9449718859471943
Corner,First Phase,Trailing 1,15-30,18,1,1.35511254,0.05555555555555555,0.07528403,0.05924262813924849,-0.01972847444444445,-0.0036870725836929408,-0.07272136978965332,0.9298598809886374
Open Play,Open Play,Level,15-30,195,15,16.9366638143,0.07692307692307693,0.0868546862271795,0.07737486944527248,-0.00993160930410257,-0.0004517925221955571,-0.0741442827665481,0.9285377121859393
Corner,First Phase,Level,90+,33,2,2.613848609,0.06060606060606061,0.07920753360606061,0.0631387866912699,-0.018601473000000007,-0.002532726085209297,-0.07640252522262889,0.9264432147338458
Corner,First Phase,Level,75-90,30,2,2.9220908355,0.06666666666666667,0.09740302785,0.06985179923353109,-0.03073636118333334,-0.0031851325668644237,-0.08708752945931739,0.9165968628940182
Corner,First Phase,Leading 2+,45-60,16,2,2.479837431,0.125,0.1549898394375,0.13007547720235552,-0.0299898394375,-0.005075477202355516,-0.09018563374944696,0.913761544544579
Corner,Second Phase,Trailing 1,75-90,18,1,1.4244672729999999,0.05555555555555555,0.07913707072222222,0.0636489766545906,-0.023581515166666664,-0.008093421099035047,-0.1561463161378147,0.8554340174122468
Open Play,Open Play,Leading 1,30-45,57,4,5.1975351136,0.07017543859649122,0.09118482655438596,0.07336869470695677,-0.02100938795789474,-0.003193256110465545,-0.15960880295214433,0.8524772103132746
Open Play,Open Play,Leading 1,15-30,36,2,2.7191273555,0.05555555555555555,0.07553131543055555,0.06036953702918774,-0.019975759875,-0.004813981473632191,-0.16168189297976343,0.8507117788912143
Indirect Free Kick,First Phase,Level,45-60,51,4,5.1075204632,0.0784313725490196,0.10014746006274511,0.0824268934601256,-0.0217160875137255,-0.003995520911105999,-0.16762005270467847,0.8456750856130828
