team_name,team_id,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg,bias_logit,odds_multiplier
Ecuador,9,29,3,3.0232283904,0.10344827586206896,0.10424925484137931,-0.0008009789793103489,-0.27292056223373207,0.761153249541354
Panama,36,24,1,2.3961893183,0.041666666666666664,0.09984122159583332,-0.05817455492916666,-0.2879630715674181,0.7497892802706875
Wales,30,61,3,4.941054553,0.04918032786885246,0.0810008943114754,-0.03182056644262295,-0.29871722058036776,0.7417691368263308
Slovenia,47,37,2,3.3990104003,0.05405405405405406,0.09186514595405405,-0.037811091899999996,-0.3089196644720042,0.7342397531952581
Brazil,7,197,15,22.0481913049,0.07614213197969544,0.11191975281675128,-0.03577762083705584,-0.35411557633025315,0.7017938519099736
Tunisia,8,69,5,6.6132387476,0.07246376811594203,0.09584403982028986,-0.023380271704347824,-0.3829983432789586,0.6818140288607027
North Macedonia,54,32,2,2.7852793398999998,0.0625,0.08703997937187499,-0.024539979371874993,-0.39421279852713514,0.6742105699578849
Qatar,20,20,1,1.4079916985,0.05,0.07039958492500001,-0.020399584925000006,-0.4003225452932553,0.6701038723245965
Nigeria,39,38,2,2.5963261047,0.05263157894736842,0.06832437117631579,-0.015692792228947372,-0.42655161243114514,0.6527561743730138
Uruguay,12,96,8,10.6699424054,0.08333333333333333,0.11114523338958333,-0.027811900056250005,-0.4351378851249216,0.6471754250612719
Canada,32,34,1,3.145125529,0.029411764705882353,0.09250369202941176,-0.06309192732352942,-0.46453531536028003,0.6284270577523735
Egypt,37,30,1,2.202232648,0.03333333333333333,0.07340775493333333,-0.0400744216,-0.4833931156304572,0.6166873462809743
Scotland,52,58,2,4.595537341,0.034482758620689655,0.07923340243103448,-0.044750643810344826,-0.5290137385882371,0.5891857744122896
Mexico,18,102,4,7.3387548557,0.0392156862745098,0.07194857701666667,-0.032732890742156864,-0.6827527898467611,0.5052243000269416
Iceland,40,34,1,3.149973363,0.029411764705882353,0.09264627538235294,-0.0632345106764706,-0.7706654962929759,0.4627050373387712
