match_id,match_date,is_home,competition_season_key,competition_statsbomb_id,competition_season,att_rolling_component,style_att_component,player_component,finishing_bias_logit,finishing_bias_multiplier
324,2015-12-19,False,2-2015/2016,2,2015/2016,0.5827281269503412,0.12016505916209264,0.0,0.3505417346132108,1.4198365148718333
572,2015-12-26,False,2-2015/2016,2,2015/2016,0.22782211442142528,-0.16182930621660718,0.0,0.08484483637763213,1.088548150519758
590,2015-12-28,True,2-2015/2016,2,2015/2016,0.11464709642540634,0.043825003520372,0.0,0.07401215391406649,1.076819892993132
481,2016-01-03,True,2-2015/2016,2,2015/2016,-0.32949400615675756,-0.16182930621660718,0.0,-0.22167902994036848,0.8011724754471867
428,2016-01-12,False,2-2015/2016,2,2015/2016,-2.5503965277882688,0.06923253029272347,0.0,-1.3854099577103671,0.2502211986523841
554,2016-01-16,False,2-2015/2016,2,2015/2016,-2.647973075787281,0.12016505916209264,0.0,-1.4263439268924816,0.24018545451541806
515,2016-01-23,True,2-2015/2016,2,2015/2016,-3.0,0.06923253029272347,0.0,-1.6326918674268192,0.19540286691940417
471,2016-02-02,True,2-2015/2016,2,2015/2016,-3.0,-0.07416278540330756,0.0,-1.668540696350827,0.18852197580849986
574,2016-02-06,False,2-2015/2016,2,2015/2016,-1.4221397416094268,0.06923253029272347,0.0,-0.7648687253120039,0.4653950215506515
235,2016-02-13,True,2-2015/2016,2,2015/2016,-0.9181222861726185,0.043825003520372,0.0,-0.4940110065148472,0.6101740671637907
543,2016-02-27,False,2-2015/2016,2,2015/2016,-0.5952151135866952,-0.16182930621660718,0.0,-0.3678256390268342,0.6922378704354724
242,2016-03-01,False,2-2015/2016,2,2015/2016,-0.16412021626803494,-0.16182930621660718,0.0,-0.130723445501571,0.8774604064616022
535,2016-03-06,True,2-2015/2016,2,2015/2016,0.1163956724357007,0.06923253029272347,0.0,0.08132575241281625,1.0847241905427631
516,2016-03-19,True,2-2015/2016,2,2015/2016,0.15158965656460754,0.043825003520372,0.0,0.09433056199062716,1.0989229480407081
513,2016-04-02,False,2-2015/2016,2,2015/2016,0.019610876033234376,-0.16182930621660718,0.0,-0.029671344735872886,0.9707645279983889
448,2016-04-09,True,2-2015/2016,2,2015/2016,0.05936671948826729,-0.16182930621660718,0.0,-0.007805630835604781,0.9922247539917866
240,2016-04-13,True,2-2015/2016,2,2015/2016,0.004230552775643659,-0.16182930621660718,0.0,-0.03813052252754778,0.9625872933649462
442,2016-04-17,False,2-2015/2016,2,2015/2016,-0.5037590013923601,0.22643656212516872,0.0,-0.2204583102345059,0.8021510796549574
579,2016-04-20,False,2-2015/2016,2,2015/2016,-0.4949390261007962,0.22643656212516872,0.0,-0.21560732382414577,0.8060517570587098
