set_piece_category,set_piece_phase,score_state,minute_bucket_label,shots,goals,xg_total,goal_rate,xg_per_shot,lift_vs_xg
Corner,First Phase,Level,0-15,79,4,7.576513672,0.05063291139240506,0.09590523635443038,-0.045272324962025316
Corner,First Phase,Leading 1,60-75,19,1,1.97317412,0.05263157894736842,0.10385126947368421,-0.051219690526315795
Corner,First Phase,Trailing 1,75-90,26,0,1.4672058434,0.0,0.056430993976923076,-0.056430993976923076
Corner,First Phase,Trailing 2+,75-90,12,1,1.894078818,0.08333333333333333,0.15783990150000002,-0.07450656816666669
Corner,First Phase,Leading 1,15-30,10,0,0.8449355630000001,0.0,0.08449355630000001,-0.08449355630000001
Corner,First Phase,Trailing 2+,60-75,12,0,1.2858120855,0.0,0.10715100712499999,-0.10715100712499999
Corner,Second Phase,Level,0-15,23,2,1.634388148,0.08695652173913043,0.07106035426086957,0.015896167478260864
Corner,Second Phase,Trailing 1,60-75,13,3,3.149290251,0.23076923076923078,0.24225309623076924,-0.011483865461538456
Corner,Second Phase,Level,45-60,30,1,1.608287241,0.03333333333333333,0.0536095747,-0.02027624136666667
Corner,Second Phase,Level,30-45,17,1,1.397696249,0.058823529411764705,0.0822174264117647,-0.023393896999999997
Corner,Second Phase,Trailing 1,75-90,18,1,1.4244672729999999,0.05555555555555555,0.07913707072222222,-0.023581515166666664
Corner,Second Phase,Trailing 1,15-30,13,2,2.482550737,0.15384615384615385,0.1909654413076923,-0.03711928746153845
Corner,Second Phase,Level,15-30,21,1,2.2281077320000002,0.047619047619047616,0.1061003681904762,-0.05848132057142859
Corner,Second Phase,Level,75-90,14,0,0.841308556,0.0,0.06009346828571428,-0.06009346828571428
Corner,Second Phase,Level,60-75,15,0,1.0564488606,0.0,0.07042992404,-0.07042992404
Throw In,First Phase,Trailing 1,30-45,16,3,1.4955975587,0.1875,0.09347484741875,0.09402515258125
Throw In,First Phase,Leading 1,30-45,21,3,1.865997565,0.14285714285714285,0.08885702690476191,0.05400011595238094
Throw In,First Phase,Trailing 1,75-90,35,3,2.2701670817,0.08571428571428572,0.06486191662,0.020852369094285714
Throw In,First Phase,Trailing 2+,75-90,10,1,0.79583676,0.1,0.079583676,0.020416324
Throw In,First Phase,Trailing 2+,60-75,16,2,1.7115874663,0.125,0.10697421664375,0.018025783356250005
Throw In,First Phase,Leading 1,45-60,29,3,2.5242139678999997,0.10344827586206896,0.08704186096206895,0.016406414900000013
Throw In,First Phase,Level,0-15,91,9,7.918383506,0.0989010989010989,0.08701520336263736,0.011885895538461533
Throw In,First Phase,Leading 1,75-90,17,2,1.805265466,0.11764705882352941,0.10619208623529412,0.011454972588235288
Throw In,First Phase,Level,45-60,62,6,5.4231734325,0.0967741935483871,0.08747053923387096,0.00930365431451613
