player_id,player_name,team_id,total_cxa_goals,total_true_xa,total_actions,key_actions,pre_assists,passes,carries,dribbles,pass_credit,carry_credit,dribble_credit,avg_credit_per_action,avg_true_xa
803.0,Mohamed Abdul Shafy Sayed Abouezeid,37,0.0,0.13218320294636715,2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.06609160147318358
804.0,Mahmoud Ibrahim Hassan,37,0.0,0.894822142262063,15,5,3,6,9,0,0.0,0.0,0.0,0.0,0.05965480948413753
805.0,Marwan Mohsen,37,0.0,0.3342826024552971,5,3,1,3,2,0,0.0,0.0,0.0,0.0,0.06685652049105942
806.0,Mohamed Naser Elsayed Elneny,37,0.0,0.8326644366532259,9,4,1,5,4,0,0.0,0.0,0.0,0.0,0.09251827073924732
793.0,David Alberto Guzmán Pérez,28,0.0,0.25160324601394773,3,1,0,3,0,0,0.0,0.0,0.0,0.0,0.08386774867131591
794.0,Fágner Conserva Lemos,7,0.0,1.7821907931916547,12,3,2,8,4,0,0.0,0.0,0.0,0.0,0.1485158994326379
796.0,Cristian Gamboa Luna,28,0.0,0.5863450952627698,10,4,3,4,6,0,0.0,0.0,0.0,0.0,0.05863450952627698
798.0,Douglas Costa de Souza,7,0.0,1.3391154264507068,21,6,4,8,13,0,0.0,0.0,0.0,0.0,0.06376740125955746
781.0,Nemanja Matić,2,0.0,0.33937647786801717,6,2,1,2,4,0,0.0,0.0,0.0,0.0,0.0565627463113362
782.0,Luka Milivojević,2,0.0,0.4349078301974076,3,1,0,3,0,0,0.0,0.0,0.0,0.0,0.1449692767324692
784.0,Duško Tošić,2,0.0,0.6337584622696272,5,0,1,4,1,0,0.0,0.0,0.0,0.0,0.12675169245392542
786.0,Adem Ljajić,2,0.0,0.7346404901383401,10,3,2,5,5,0,0.0,0.0,0.0,0.0,0.073464049013834
787.0,Marcos Danilo Ureña Porras,28,0.0,0.1963235604371391,5,2,1,1,4,0,0.0,0.0,0.0,0.0,0.03926471208742782
788.0,Giancarlo González Castro,28,0.0,0.17573495789221466,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.08786747894610733
789.0,José Paulo Bezzera Maciel Júnior,7,0.0,0.7954989404163509,8,3,1,4,4,0,0.0,0.0,0.0,0.0,0.09943736755204387
773.0,Román Aureliano Torres Morcillo,36,0.0,0.15130800218757703,3,2,1,1,2,0,0.0,0.0,0.0,0.0,0.05043600072919235
774.0,Michael Amir Murillo Bermudez,36,0.0,0.40369320376918083,6,1,1,2,4,0,0.0,0.0,0.0,0.0,0.0672822006281968
776.0,Felipe Abdiel Baloy Ramírez,36,0.0,0.12062216180467261,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.060311080902336306
777.0,Abdiel Arroyo Molinar,36,0.0,0.3647129130687824,2,2,0,2,0,0,0.0,0.0,0.0,0.0,0.1823564565343912
778.0,Branislav Ivanović,2,0.0,0.4398834947980746,8,3,2,6,2,0,0.0,0.0,0.0,0.0,0.054985436849759324
779.0,Aleksandar Kolarov,2,0.0,0.43521268309787664,7,2,1,4,3,0,0.0,0.0,0.0,0.0,0.062173240442553804
834.0,Jesús Manuel Corona Ruíz,18,0.0,0.881440279655201,7,1,3,4,3,0,0.0,0.0,0.0,0.0,0.125920039950743
836.0,Fahad Mosaed Al Muwallad Al Harbi,17,0.0,0.09848243077797955,3,1,1,1,2,0,0.0,0.0,0.0,0.0,0.032827476925993186
838.0,Taisir Jabir Al Jassim,17,0.0,0.08514703227757742,2,1,1,1,1,0,0.0,0.0,0.0,0.0,0.04257351613878871
839.0,Osama Abdulrezag Hawsawi,17,0.0,0.020490550865701,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.020490550865701
840.0,Hussain Al Mogahwi,17,0.0,0.35768647170247003,7,1,3,3,4,0,0.0,0.0,0.0,0.0,0.05109806738606715
841.0,Diego Sebastián Laxalt Suárez,12,0.0,0.622033391679997,9,2,3,5,4,0,0.0,0.0,0.0,0.0,0.06911482129777745
842.0,Mohammad Ibrahim Al Sahlawi,17,0.0,0.0762870700651185,2,1,1,1,1,0,0.0,0.0,0.0,0.0,0.03814353503255925
827.0,Carlos Alberto Vela Garrido,18,0.0,2.0577045163535184,47,12,12,21,26,0,0.0,0.0,0.0,0.0,0.04378094715645784
828.0,Miguel Arturo Layún Prado,18,0.0,1.1841751951768502,26,10,2,13,13,0,0.0,0.0,0.0,0.0,0.04554519981449424
829.0,Min-Woo Kim,13,0.0,0.5823505398634119,8,3,2,4,4,0,0.0,0.0,0.0,0.0,0.07279381748292649
830.0,Carlos Joel Salcedo Hernández,18,0.0,0.04857405312842539,2,1,1,1,1,0,0.0,0.0,0.0,0.0,0.024287026564212694
831.0,Hyeon-Woo Jo,13,0.0,0.03273400931006287,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.03273400931006287
832.0,Seung-Woo Lee,13,0.0,0.27550021704091865,5,1,1,3,2,0,0.0,0.0,0.0,0.0,0.05510004340818373
833.0,Rafael Márquez Álvarez,18,0.0,0.11923302443127419,3,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0397443414770914
818.0,Mahmoud Abdul Monem Abdelhamid Soliman,37,0.0,0.03389295966390687,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.03389295966390687
819.0,Ramadan Sobhi Ramadan Ahmed,37,0.0,0.07505704997701979,2,0,1,1,1,0,0.0,0.0,0.0,0.0,0.03752852498850989
820.0,Lucas Torreira Di Pascua,12,0.0,0.2930992842054506,6,4,1,3,3,0,0.0,0.0,0.0,0.0,0.048849880700908434
821.0,Sung-Yeung Ki,13,0.0,0.3345117856038483,9,1,1,5,4,0,0.0,0.0,0.0,0.0,0.037167976178205366
823.0,Hyun-Soo Jang,13,0.0,0.27181424386183595,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.13590712193091797
825.0,Seon-Min Moon,13,0.0,0.3656618988659073,4,1,0,2,2,0,0.0,0.0,0.0,0.0,0.09141547471647682
808.0,Ahmed Elsayed Ali Elsayed Hegazy,37,0.0,0.22103921458149198,3,0,0,2,1,0,0.0,0.0,0.0,0.0,0.07367973819383065
809.0,Tarek Hamed,37,0.0,0.3393171817780293,6,2,0,4,2,0,0.0,0.0,0.0,0.0,0.056552863629671546
811.0,Amr Medhat Warda,37,0.0,0.2626369044872239,7,2,3,4,3,0,0.0,0.0,0.0,0.0,0.03751955778388912
812.0,Ahmed Fathy Abdel Meneim Ibrahim,37,0.0,0.40327552234938535,5,2,1,4,1,0,0.0,0.0,0.0,0.0,0.08065510446987707
813.0,Mohamed El Sayed Mohamed El Shenawy Gomaa,37,0.0,0.0327961310419972,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0327961310419972
817.0,Cristian Gabriel Rodríguez Barrotti,12,0.0,0.44459658120762185,10,4,1,4,6,0,0.0,0.0,0.0,0.0,0.044459658120762184
876.0,Sadio Mané,10,0.0,0.9542193087030378,14,2,6,9,5,0,0.0,0.0,0.0,0.0,0.06815852205021698
882.0,"Khadim N""Diaye",10,0.0,0.044102264957745024,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.044102264957745024
883.0,Cheikh N''Doye,10,0.0,0.3967716506082083,2,1,0,2,0,0,0.0,0.0,0.0,0.0,0.19838582530410415
888.0,Pontus Jansson,35,0.0,0.12705311316527745,3,1,0,2,1,0,0.0,0.0,0.0,0.0,0.042351037721759154
864.0,André Martín Carrillo Díaz,38,0.0,0.7637956672691253,12,6,3,6,6,0,0.0,0.0,0.0,0.0,0.06364963893909377
868.0,Pedro David Gallese Quiróz,38,0.0,0.3042149936798744,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.1521074968399372
869.0,Jefferson Agustín Farfán Guadalupe,38,0.0,0.22792287890006843,6,2,1,4,2,0,0.0,0.0,0.0,0.0,0.03798714648334474
871.0,Nabil Fekir,16,0.0,0.13814692164706746,4,3,0,1,3,0,0.0,0.0,0.0,0.0,0.034536730411766865
873.0,Steven N''Kemboanza Mike Christopher Nzonzi,16,0.0,0.12421534999214093,5,0,1,3,2,0,0.0,0.0,0.0,0.0,0.024843069998428186
855.0,Samuel Yves Umtiti,16,0.0,0.3629348135388201,5,2,1,3,2,0,0.0,0.0,0.0,0.0,0.07258696270776402
856.0,Édison Michael Flores Peralta,38,0.0,0.7825223284502804,10,2,3,6,4,0,0.0,0.0,0.0,0.0,0.07825223284502804
859.0,Pedro Jesús Aquino Sánchez,38,0.0,0.09577251090081575,3,0,2,2,1,0,0.0,0.0,0.0,0.0,0.03192417030027191
860.0,Luis Jan Piers Advíncula Castrillón,38,0.0,0.34724235366693296,11,4,1,6,5,0,0.0,0.0,0.0,0.0,0.031567486696993906
862.0,Christian Alberto Cueva Bravo,38,0.0,2.6382545187499917,24,4,8,12,12,0,0.0,0.0,0.0,0.0,0.10992727161458299
863.0,Miguel Ángel Trauco Saavedra,38,0.0,0.6389209640504433,9,2,1,6,3,0,0.0,0.0,0.0,0.0,0.07099121822782703
844.0,Gabriel Arturo Torres Tejada,36,0.0,0.11833669297039431,2,0,1,1,1,0,0.0,0.0,0.0,0.0,0.05916834648519716
846.0,Dawid Kownacki,19,0.0,0.14353068056924076,3,2,1,1,2,0,0.0,0.0,0.0,0.0,0.04784356018974692
848.0,Łukasz Piszczek,19,0.0,0.16366510378829582,4,3,1,3,1,0,0.0,0.0,0.0,0.0,0.040916275947073956
849.0,Jacek Góralski,19,0.0,0.15016441205675793,4,1,0,2,2,0,0.0,0.0,0.0,0.0,0.03754110301418948
851.0,Maciej Rybus,19,0.0,0.8912182783909776,13,3,3,7,6,0,0.0,0.0,0.0,0.0,0.06855525218392135
852.0,Michał Pazdan,19,0.0,0.13141196595507829,2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.06570598297753914
928.0,Javier Alejandro Mascherano,4,0.0,0.4478762227345367,13,0,2,7,6,0,0.0,0.0,0.0,0.0,0.0344520171334259
929.0,Enzo Nicolás Pérez,4,0.0,0.4648791064795862,4,0,1,2,2,0,0.0,0.0,0.0,0.0,0.11621977661989655
930.0,Federico Julián Fazio,4,0.0,0.11692859881947246,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.05846429940973623
910.0,Sebastian Rudy,26,0.0,0.044577598040537805,2,1,0,1,1,0,0.0,0.0,0.0,0.0,0.022288799020268903
912.0,Mario Gómez García,26,0.0,0.5100951619603803,3,2,0,2,1,0,0.0,0.0,0.0,0.0,0.1700317206534601
913.0,Jimmy Durmaz,35,0.0,0.017751525951325734,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.017751525951325734
914.0,John Guidetti,35,0.0,0.2290018209850134,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.2290018209850134
915.0,Julian Brandt,26,0.0,0.7876391345660406,11,3,0,5,6,0,0.0,0.0,0.0,0.0,0.07160355768782188
916.0,Anice Badri,8,0.0,0.4967561685524813,10,2,2,5,5,0,0.0,0.0,0.0,0.0,0.04967561685524813
901.0,Lucas Vázquez Iglesias,23,0.0,0.10730681771219035,2,0,0,1,1,0,0.0,0.0,0.0,0.0,0.053653408856095174
902.0,Antonio Rukavina,2,0.0,0.5230627431579195,3,2,1,2,1,0,0.0,0.0,0.0,0.0,0.1743542477193065
903.0,Filipe Luís Kasmirski,7,0.0,1.219482842498436,11,1,2,7,4,0,0.0,0.0,0.0,0.0,0.11086207659076691
