player_id,player_name,team_id,total_cxa,total_true_xa,total_actions,key_actions,pre_assists,passes,carries,dribbles,pass_credit,carry_credit,dribble_credit,avg_credit_per_action,avg_true_xa
87.0,Raphael Dias Belloli,7,2.212652343704237,3.4828639398778316,30,12,5,13,17,0,1.068195864581941,1.1444564791222958,0.0,0.07375507812347457,0.11609546466259439
455.0,Thomas Müller,26,2.187437496869608,5.951253275860959,50,14,16,32,18,0,1.3073387218942067,0.8800987749754017,0.0,0.04374874993739217,0.11902506551721918
8.0,Granit Xhaka,3,2.1279804357931367,7.910218060470074,96,11,15,55,41,0,1.3893339153507642,0.7386465204423721,0.0,0.022166462872845172,0.08239810479656327
797.0,Philippe Coutinho Correia,7,2.0977600877462974,5.54561794946291,64,17,14,30,34,0,1.0214491270403372,1.07631096070596,0.0,0.0327775013710359,0.08665028046035797
229.0,Adrien Rabiot,16,2.095495026562404,4.77576126176536,56,8,13,30,26,0,1.1621019086068942,0.9333931179555098,0.0,0.03741955404575721,0.08528145110295285
465.0,Jorge Resurrección Merodio,23,2.089531509000675,3.3524640570221975,45,15,6,31,14,0,1.7846261308058777,0.3049053781947968,0.0,0.04643403353334833,0.07449920126715995
6.0,Ruben Vargas,3,2.0796613817788643,3.2724238177043543,33,16,7,17,16,0,1.138161048883006,0.9415003328958581,0.0,0.06302004187208679,0.09916435811225316
205.0,Hakim Ziyech,14,2.058611161532232,4.732527896469442,52,20,11,26,26,0,1.5114175263467458,0.5471936351854865,0.0,0.03958867618331215,0.09101015185518158
526.0,Romelu Lukaku Menama,29,2.0272931460094656,5.19212863947783,51,23,10,22,29,0,0.8650213152360275,1.1622718307734379,0.0,0.0397508460001856,0.10180644391133001
337.0,Philip Foden,21,2.0058399553226054,3.631324113794755,44,21,9,23,21,0,1.2347383609948825,0.7711015943277224,0.0,0.045587271711877396,0.08253009349533534
527.0,Kai Havertz,26,2.004532162547457,6.454110966264278,39,16,9,16,23,0,0.7800347800060042,1.224497382541453,0.0,0.051398260578139926,0.16549002477600713
874.0,M''Baye Babacar Niang,10,1.9905575483300462,1.8834698954505595,18,8,3,8,10,0,0.5349703514832616,1.4555871968467846,0.0,0.11058653046278034,0.10463721641391997
395.0,Álvaro Borja Morata Martín,23,1.9881843086026836,4.463438287861932,47,25,8,17,29,1,0.4772416601401793,1.4905084958900257,0.020434152572478333,0.042301793800057094,0.09496677208216876
334.0,Harry Maguire,21,1.9050823843496143,2.8510332229098,27,8,2,21,6,0,1.6833185871309566,0.22176379721865774,0.0,0.07055860682776349,0.10559382307073334
1106.0,Lamine Yamal Nasraoui Ebana,23,1.8980831953224395,6.101210873771544,67,24,18,29,38,0,0.8193405422097411,1.0787426531126985,0.0,0.028329599930185665,0.09106284886226185
449.0,Giorgian Daniel De Arrascaeta Benedetti,12,1.8662760794386757,1.2664622725245844,10,5,2,8,2,0,1.845327194495944,0.020948884942731755,0.0,0.18662760794386757,0.12664622725245844
1125.0,Arda Güler,42,1.8549877059849917,3.4759852559521787,28,13,5,15,13,0,1.5061097346683936,0.3488779713165981,0.0,0.06624956092803543,0.12414233056972067
200.0,Raphaël Adelino José Guerreiro,15,1.8450021018430596,6.538406949193271,59,14,14,33,26,0,1.1992488918988855,0.6457532099441737,0.0,0.031271222065136606,0.11082045676598765
67.0,Joakim Mæhle,6,1.821174652967565,4.186127259828064,56,17,14,26,30,0,0.750713654594754,1.0704609983728108,0.0,0.03252097594584937,0.07475227249692971
392.0,Sergio Busquets i Burgos,23,1.8098965733516468,4.300528096576634,49,4,8,34,15,0,1.3915655573683976,0.4183310159832495,0.0,0.036936664762278505,0.08776587952197212
947.0,Gylfi Þór Sigurðsson,40,1.8023455638097132,3.430762576358652,20,14,2,13,7,0,1.4026083425497844,0.3997372212599287,0.0,0.09011727819048566,0.1715381288179326
865.0,Paul Pogba,16,1.7984048844081713,4.6737859659255845,63,18,15,32,31,0,1.0099218756630257,0.7884830087451457,0.0,0.02854610927632018,0.07418707882421563
